timestamp,mars_base_internal_temperature,mars_base_external_temperature,mars_base_internal_humidity,mars_base_external_illuminance,mars_base_internal_co2,mars_base_internal_oxygen
2023-08-27 12:00:00,19.00,5.01,59.22,653.35,0.03,5.58
2023-08-27 12:00:00,28.33,18.76,56.88,576.13,0.05,5.42
2023-08-27 12:00:05,24.19,7.49,59.62,554.85,0.04,5.34
2023-08-27 12:00:10,24.05,17.78,51.46,609.21,0.04,5.61
2023-08-27 12:00:15,22.58,20.34,52.15,511.64,0.07,5.30
2023-08-27 12:00:20,21.57,14.52,55.04,614.23,0.10,4.50
2023-08-27 12:00:25,22.85,13.73,59.29,625.56,0.03,6.58
2023-08-27 12:00:30,19.12,20.37,58.38,642.38,0.05,5.52
2023-08-27 12:00:35,27.46,6.74,54.18,631.75,0.03,6.39
2023-08-27 12:00:40,20.24,2.41,59.12,588.86,0.06,4.02
2023-08-27 12:00:45,19.72,0.54,55.85,664.13,0.05,6.81
2023-08-27 12:00:50,27.76,15.64,51.54,618.01,0.06,5.72
2023-08-27 12:00:55,25.47,13.52,50.18,695.19,0.04,4.56
